State,Capacity_ISO_MW,Capacity_NonISO_MW,Total_Capacity_MW,ISO_pct,Is_most_capacity_associated_to_ISO_RTO
CT,"10,676",0,"10,676",100.0%,Y
DC,55,0,55,100.0%,Y
DE,"2,942",0,"2,942",100.0%,Y
IL,"49,908",0,"49,908",100.0%,Y
IN,"30,131",0,"30,131",100.0%,Y
MA,"12,391",0,"12,391",100.0%,Y
MD,"12,784",0,"12,784",100.0%,Y
MI,"31,014",0,"31,014",100.0%,Y
NH,"4,683",0,"4,683",100.0%,Y
NJ,"17,507",0,"17,507",100.0%,Y
NY,"41,396",0,"41,396",100.0%,Y
OH,"33,269",0,"33,269",100.0%,Y
PA,"51,800",0,"51,800",100.0%,Y
VT,879,0,879,100.0%,Y
WI,"19,067",0,"19,067",100.0%,Y
WV,"15,599",0,"15,599",100.0%,Y
VA,"27,620",4,"27,623",100.0%,Y
RI,"2,459",7,"2,466",99.7%,Y
MN,"19,867",61,"19,928",99.7%,Y
IA,"23,245",565,"23,810",97.6%,Y
ME,"5,336",143,"5,479",97.4%,Y
LA,"26,973",977,"27,950",96.5%,Y
TX,"146,754","15,418","162,172",90.5%,Y
AR,"14,040","2,854","16,894",83.1%,Y
CA,"73,274","16,274","89,548",81.8%,Y
ND,"5,831","4,029","9,860",59.1%,Y
MO,"9,047","13,429","22,476",40.2%,N
SD,"2,559","4,653","7,212",35.5%,N
MS,"5,638","10,806","16,444",34.3%,N
KY,"6,930","14,672","21,602",32.1%,N
NV,"1,277","14,483","15,760",8.1%,N
NC,"2,648","36,165","38,813",6.8%,N
OK,"2,235","31,434","33,669",6.6%,N
MT,156,"6,733","6,889",2.3%,N
AK,0,"2,680","2,680",0.0%,N
AL,0,"32,734","32,734",0.0%,N
AZ,0,"32,509","32,509",0.0%,N
CO,0,"21,084","21,084",0.0%,N
FL,0,"75,140","75,140",0.0%,N
GA,0,"39,017","39,017",0.0%,N
HI,0,"3,232","3,232",0.0%,N
ID,0,"5,507","5,507",0.0%,N
KS,0,"20,152","20,152",0.0%,N
NE,0,"11,286","11,286",0.0%,N
NM,0,"11,085","11,085",0.0%,N
OR,0,"18,098","18,098",0.0%,N
PR,0,"6,339","6,339",0.0%,N
SC,0,"23,847","23,847",0.0%,N
TN,0,"22,594","22,594",0.0%,N
UT,0,"10,115","10,115",0.0%,N
WA,0,"31,401","31,401",0.0%,N
WY,0,"11,102","11,102",0.0%,N
